order_id,date,customer_name,product,quantity,unit_price,total,region,sales_rep
ORD-0001,2023-02-07,XYZ Inc,Headphones,9,398.18,3583.62,North,Charlie Wilson
ORD-0002,2023-03-21,Enterprise Ltd,Phone,8,988.15,7905.2,South,Jane Smith
ORD-0003,2023-01-12,Mega Corp,Headphones,6,572.83,3436.9800000000005,South,Alice Brown
ORD-0004,2023-05-06,Mega Corp,Headphones,6,756.33,4537.9800000000005,Central,Alice Brown
ORD-0005,2023-06-25,XYZ Inc,Keyboard,7,289.74,2028.18,West,John Doe
ORD-0006,2023-04-11,Small Business,Tablet,1,167.05,167.05,Central,Jane Smith
ORD-0007,2023-08-26,Startup Co,Mouse,10,97.43,974.3000000000001,West,Charlie Wilson
ORD-0008,2023-05-29,Acme Corp,Laptop,4,624.55,2498.2,West,Charlie Wilson
ORD-0009,2023-04-25,Small Business,Monitor,4,409.6,1638.4,East,Alice Brown
ORD-0010,2023-01-25,Tech Solutions,Keyboard,5,927.51,4637.55,Central,Alice Brown
ORD-0011,2023-01-24,Small Business,Laptop,6,158.03,948.1800000000001,West,Jane Smith
ORD-0012,2023-01-20,Tech Solutions,Mouse,4,552.01,2208.04,Central,Jane Smith
ORD-0013,2023-12-25,Enterprise Ltd,Phone,2,631.32,1262.64,North,Charlie Wilson
ORD-0014,2023-07-18,Tech Solutions,Phone,1,815.5,815.5,West,John Doe
ORD-0015,2023-07-25,Startup Co,Headphones,1,675.71,675.71,Central,Charlie Wilson
ORD-0016,2023-11-25,Startup Co,Phone,9,523.42,4710.78,North,John Doe
ORD-0017,2023-05-31,XYZ Inc,Monitor,1,143.13,143.13,West,Jane Smith
ORD-0018,2023-04-01,Small Business,Monitor,5,546.05,2730.25,North,Charlie Wilson
ORD-0019,2023-12-30,Global Industries,Webcam,7,994.97,6964.79,Central,Bob Johnson
ORD-0020,2023-05-14,XYZ Inc,Headphones,10,839.56,8395.599999999999,North,Charlie Wilson
ORD-0021,2023-12-17,Mega Corp,Tablet,9,398.39,3585.5099999999998,North,Bob Johnson
ORD-0022,2023-11-01,Enterprise Ltd,Webcam,7,142.29,996.03,South,Alice Brown
ORD-0023,2023-05-10,Global Industries,Phone,2,831.0,1662.0,West,Jane Smith
ORD-0024,2023-11-01,Tech Solutions,Mouse,4,631.32,2525.28,North,Alice Brown
ORD-0025,2023-07-25,Enterprise Ltd,Tablet,7,629.17,4404.19,East,Alice Brown
ORD-0026,2023-11-29,XYZ Inc,Keyboard,6,150.43,902.58,West,Jane Smith
ORD-0027,2023-06-04,Global Industries,Tablet,2,653.59,1307.18,West,Charlie Wilson
ORD-0028,2023-06-05,Global Industries,Tablet,2,408.31,816.62,North,Bob Johnson
ORD-0029,2023-12-18,Mega Corp,Monitor,10,896.57,8965.7,North,Alice Brown
ORD-0030,2023-08-01,Enterprise Ltd,Webcam,6,448.18,2689.08,North,Charlie Wilson
ORD-0031,2023-06-08,Acme Corp,Laptop,7,180.71,1264.97,West,Bob Johnson
ORD-0032,2023-01-24,Tech Solutions,Webcam,9,57.11,513.99,West,Bob Johnson
ORD-0033,2023-01-23,Mega Corp,Mouse,8,175.08,1400.64,Central,Alice Brown
ORD-0034,2023-04-09,Startup Co,Mouse,6,328.58,1971.48,East,Jane Smith
ORD-0035,2023-10-26,Global Industries,Tablet,5,255.52,1277.6000000000001,East,Alice Brown
ORD-0036,2023-07-16,Startup Co,Laptop,9,655.73,5901.57,North,Charlie Wilson
ORD-0037,2023-08-24,Enterprise Ltd,Laptop,7,608.58,4260.06,North,Jane Smith
ORD-0038,2023-05-30,Small Business,Webcam,9,142.56,1283.04,South,Bob Johnson
ORD-0039,2023-01-23,Mega Corp,Monitor,4,980.34,3921.36,East,Alice Brown
ORD-0040,2023-03-31,Enterprise Ltd,Keyboard,4,811.35,3245.4,West,Alice Brown
ORD-0041,2023-10-07,Small Business,Laptop,9,563.96,5075.64,North,Bob Johnson
ORD-0042,2023-07-13,Acme Corp,Webcam,8,289.51,2316.08,North,Bob Johnson
ORD-0043,2023-08-29,Enterprise Ltd,Keyboard,7,326.43,2285.01,West,Bob Johnson
ORD-0044,2023-10-06,XYZ Inc,Laptop,8,470.29,3762.32,South,Bob Johnson
ORD-0045,2023-12-26,Enterprise Ltd,Monitor,7,953.01,6671.07,East,John Doe
ORD-0046,2023-04-28,Small Business,Webcam,9,732.58,6593.22,West,Bob Johnson
ORD-0047,2023-12-19,Tech Solutions,Monitor,1,453.75,453.75,West,Jane Smith
ORD-0048,2023-11-26,Mega Corp,Monitor,10,26.73,267.3,South,Alice Brown
ORD-0049,2023-06-27,Small Business,Monitor,4,216.31,865.24,West,Charlie Wilson
ORD-0050,2023-07-10,Startup Co,Laptop,9,991.95,8927.550000000001,South,Jane Smith
ORD-0051,2023-10-17,XYZ Inc,Laptop,3,823.61,2470.83,South,John Doe
ORD-0052,2023-07-21,Mega Corp,Tablet,2,433.69,867.38,East,Alice Brown
ORD-0053,2023-03-10,Startup Co,Mouse,1,336.93,336.93,East,Charlie Wilson
ORD-0054,2023-05-12,Tech Solutions,Headphones,3,522.99,1568.97,East,John Doe
ORD-0055,2023-04-26,Startup Co,Headphones,10,575.77,5757.7,Central,John Doe
